subject,dataset
7,train
10,train
16,train
27,train
29,train
33,train
38,train
42,train
55,train
59,train
61,train
65,train
82,train
88,train
98,train
109,train
116,train
141,train
143,train
147,train
149,test
151,test
154,test
156,test
164,test
176,test
180,test
185,test
204,test
205,test
206,test
214,test
220,valid
235,valid
254,valid
256,valid
280,valid
304,valid
308,valid
309,valid
314,valid
316,valid
7,train
10,train
16,train
27,train
29,train
33,train
38,train
42,train
55,train
59,train
61,train
65,train
82,train
88,train
98,train
109,train
116,train
141,train
143,train
147,train
149,test
151,test
154,test
156,test
164,test
176,test
180,test
185,test
204,test
205,test
206,test
214,test
220,valid
235,valid
254,valid
256,valid
280,valid
304,valid
308,valid
309,valid
314,valid
316,valid
7,train
10,train
16,train
27,train
29,train
33,train
38,train
42,train
55,train
59,train
61,train
65,train
82,train
88,train
98,train
109,train
116,train
141,train
143,train
147,train
149,test
151,test
154,test
156,test
164,test
176,test
180,test
185,test
204,test
205,test
206,test
214,test
220,valid
235,valid
254,valid
256,valid
280,valid
304,valid
308,valid
309,valid
314,valid
316,valid
7,train
10,train
16,train
27,train
29,train
33,train
38,train
42,train
55,train
59,train
61,train
65,train
82,train
88,train
98,train
109,train
116,train
141,train
143,train
147,train
149,test
151,test
154,test
156,test
164,test
176,test
180,test
185,test
204,test
205,test
206,test
214,test
220,valid
235,valid
254,valid
256,valid
280,valid
304,valid
308,valid
309,valid
314,valid
316,valid
7,train
10,train
16,train
27,train
29,train
33,train
38,train
42,train
55,train
59,train
61,train
65,train
82,train
88,train
98,train
109,train
116,train
141,train
143,train
147,train
149,test
151,test
154,test
156,test
164,test
176,test
180,test
185,test
204,test
205,test
206,test
214,test
220,valid
235,valid
254,valid
256,valid
280,valid
304,valid
308,valid
309,valid
314,valid
316,valid
7,train
10,train
16,train
27,train
29,train
33,train
38,train
42,train
55,train
59,train
61,train
65,train
82,train
88,train
98,train
109,train
116,train
141,train
143,train
147,train
149,test
151,test
154,test
156,test
164,test
176,test
180,test
185,test
204,test
205,test
206,test
214,test
220,valid
235,valid
254,valid
256,valid
280,valid
304,valid
308,valid
309,valid
314,valid
316,valid
7,train
10,train
16,train
27,train
29,train
33,train
38,train
42,train
55,train
59,train
61,train
65,train
82,train
88,train
98,train
109,train
116,train
141,train
143,train
147,train
149,test
151,test
154,test
156,test
164,test
176,test
180,test
185,test
204,test
205,test
206,test
214,test
220,valid
235,valid
254,valid
256,valid
280,valid
304,valid
308,valid
309,valid
314,valid
316,valid
7,train
10,train
16,train
27,train
29,train
33,train
38,train
42,train
55,train
59,train
61,train
65,train
82,train
88,train
98,train
109,train
116,train
141,train
143,train
147,train
149,test
151,test
154,test
156,test
164,test
176,test
180,test
185,test
204,test
205,test
206,test
214,test
220,valid
235,valid
254,valid
256,valid
280,valid
304,valid
308,valid
309,valid
314,valid
316,valid
7,train
10,train
16,train
27,train
29,train
33,train
38,train
42,train
55,train
59,train
61,train
65,train
82,train
88,train
98,train
109,train
116,train
141,train
143,train
147,train
149,test
151,test
154,test
156,test
164,test
176,test
180,test
185,test
204,test
205,test
206,test
214,test
220,valid
235,valid
254,valid
256,valid
280,valid
304,valid
308,valid
309,valid
314,valid
316,valid
7,train
10,train
16,train
27,train
29,train
33,train
38,train
42,train
55,train
59,train
61,train
65,train
82,train
88,train
98,train
109,train
116,train
141,train
143,train
147,train
149,test
151,test
154,test
156,test
164,test
176,test
180,test
185,test
204,test
205,test
206,test
214,test
220,valid
235,valid
254,valid
256,valid
280,valid
304,valid
308,valid
309,valid
314,valid
316,valid
7,train
10,train
16,train
27,train
29,train
33,train
38,train
42,train
55,train
59,train
61,train
65,train
82,train
88,train
98,train
109,train
116,train
141,train
143,train
147,train
149,test
151,test
154,test
156,test
164,test
176,test
180,test
185,test
204,test
205,test
206,test
214,test
220,valid
235,valid
254,valid
256,valid
280,valid
304,valid
308,valid
309,valid
314,valid
316,valid
7,train
10,train
16,train
27,train
29,train
33,train
38,train
42,train
55,train
59,train
61,train
65,train
82,train
88,train
98,train
109,train
116,train
141,train
143,train
147,train
149,test
151,test
154,test
156,test
164,test
176,test
180,test
185,test
204,test
205,test
206,test
214,test
220,valid
235,valid
254,valid
256,valid
280,valid
304,valid
308,valid
309,valid
314,valid
316,valid
7,train
10,train
16,train
27,train
29,train
33,train
38,train
42,train
55,train
59,train
61,train
65,train
82,train
88,train
98,train
109,train
116,train
141,train
143,train
147,train
149,test
151,test
154,test
156,test
164,test
176,test
180,test
185,test
204,test
205,test
206,test
214,test
220,valid
235,valid
254,valid
256,valid
280,valid
304,valid
308,valid
309,valid
314,valid
316,valid
7,train
10,train
16,train
27,train
29,train
33,train
38,train
42,train
55,train
59,train
61,train
65,train
82,train
88,train
98,train
109,train
116,train
141,train
143,train
147,train
149,test
151,test
154,test
156,test
164,test
176,test
180,test
185,test
204,test
205,test
206,test
214,test
220,valid
235,valid
254,valid
256,valid
280,valid
304,valid
308,valid
309,valid
314,valid
316,valid
7,train
10,train
16,train
27,train
29,train
33,train
38,train
42,train
55,train
59,train
61,train
65,train
82,train
88,train
98,train
109,train
116,train
141,train
143,train
147,train
149,test
151,test
154,test
156,test
164,test
176,test
180,test
185,test
204,test
205,test
206,test
214,test
220,valid
235,valid
254,valid
256,valid
280,valid
304,valid
308,valid
309,valid
314,valid
316,valid
7,train
10,train
16,train
27,train
29,train
33,train
38,train
42,train
55,train
59,train
61,train
65,train
82,train
88,train
98,train
109,train
116,train
141,train
143,train
147,train
149,test
151,test
154,test
156,test
164,test
176,test
180,test
185,test
204,test
205,test
206,test
214,test
220,valid
235,valid
254,valid
256,valid
280,valid
304,valid
308,valid
309,valid
314,valid
316,valid
1,train
2,train
3,train
4,train
5,train
6,train
8,train
9,train
11,train
12,train
13,train
14,train
15,train
17,train
18,train
19,train
21,train
22,train
23,train
24,train
25,train
26,train
28,train
30,train
31,train
32,train
34,train
35,train
36,train
37,train
39,train
40,train
41,train
43,train
44,train
45,train
46,train
47,train
48,train
49,train
50,train
51,train
52,train
