subject,dataset
151,test
154,test
156,test
164,test
176,test
180,test
185,test
204,test
205,test
206,test
214,test
220,valid
235,valid
254,valid
256,valid
280,valid
304,valid
308,valid
309,valid
314,valid
316,valid
7,train
10,train
16,train
27,train
29,train
33,train
38,train
42,train
55,train
59,train
61,train
65,train
82,train
88,train
98,train
109,train
116,train
141,train
143,train
147,train
149,test
151,test
154,test
156,test
164,test
176,test
180,test
185,test
204,test
205,test
206,test
214,test
220,valid
235,valid
254,valid
256,valid
280,valid
304,valid
308,valid
309,valid
314,valid
316,valid
7,train
10,train
16,train
27,train
29,train
33,train
38,train
42,train
55,train
59,train
61,train
65,train
82,train
88,train
98,train
109,train
116,train
141,train
143,train
147,train
149,test
151,test
154,test
156,test
164,test
176,test
180,test
185,test
204,test
205,test
206,test
214,test
220,valid
235,valid
254,valid
256,valid
280,valid
304,valid
308,valid
309,valid
314,valid
316,valid
7,train
10,train
16,train
27,train
29,train
33,train
38,train
42,train
55,train
59,train
61,train
65,train
82,train
88,train
98,train
109,train
116,train
141,train
143,train
147,train
149,test
151,test
154,test
156,test
164,test
176,test
180,test
185,test
204,test
205,test
206,test
214,test
220,valid
235,valid
254,valid
256,valid
280,valid
304,valid
308,valid
309,valid
314,valid
316,valid
7,train
10,train
16,train
27,train
29,train
33,train
38,train
42,train
55,train
59,train
61,train
65,train
82,train
88,train
98,train
109,train
116,train
141,train
143,train
147,train
149,test
151,test
154,test
156,test
164,test
176,test
180,test
185,test
204,test
205,test
206,test
214,test
220,valid
235,valid
254,valid
256,valid
280,valid
304,valid
308,valid
309,valid
314,valid
316,valid
7,train
10,train
16,train
27,train
29,train
33,train
38,train
42,train
55,train
59,train
61,train
65,train
82,train
88,train
98,train
109,train
116,train
141,train
143,train
147,train
149,test
151,test
154,test
156,test
164,test
176,test
180,test
185,test
204,test
205,test
206,test
214,test
220,valid
235,valid
254,valid
256,valid
280,valid
304,valid
308,valid
309,valid
314,valid
316,valid
7,train
10,train
16,train
27,train
29,train
33,train
38,train
42,train
55,train
59,train
61,train
65,train
82,train
88,train
98,train
109,train
116,train
141,train
143,train
147,train
149,test
151,test
154,test
156,test
164,test
176,test
180,test
185,test
204,test
205,test
206,test
214,test
220,valid
235,valid
254,valid
256,valid
280,valid
304,valid
308,valid
309,valid
314,valid
316,valid
7,train
10,train
16,train
27,train
29,train
33,train
38,train
42,train
55,train
59,train
61,train
65,train
82,train
88,train
98,train
109,train
116,train
141,train
143,train
147,train
149,test
151,test
154,test
156,test
164,test
176,test
180,test
185,test
204,test
205,test
206,test
214,test
220,valid
235,valid
254,valid
256,valid
280,valid
304,valid
308,valid
309,valid
314,valid
316,valid
7,train
10,train
16,train
27,train
29,train
33,train
38,train
42,train
55,train
59,train
61,train
65,train
82,train
88,train
98,train
109,train
116,train
141,train
143,train
147,train
149,test
151,test
154,test
156,test
164,test
176,test
180,test
185,test
204,test
205,test
206,test
214,test
220,valid
235,valid
254,valid
256,valid
280,valid
304,valid
308,valid
309,valid
314,valid
316,valid
7,train
10,train
16,train
27,train
29,train
33,train
38,train
42,train
55,train
59,train
61,train
65,train
82,train
88,train
98,train
109,train
116,train
141,train
143,train
147,train
149,test
151,test
154,test
156,test
164,test
176,test
180,test
185,test
204,test
205,test
206,test
214,test
220,valid
235,valid
254,valid
256,valid
280,valid
304,valid
308,valid
309,valid
314,valid
316,valid
7,train
10,train
16,train
27,train
29,train
33,train
38,train
42,train
55,train
59,train
61,train
65,train
82,train
88,train
98,train
109,train
116,train
141,train
143,train
147,train
149,test
151,test
154,test
156,test
164,test
176,test
180,test
185,test
204,test
205,test
206,test
214,test
220,valid
235,valid
254,valid
256,valid
280,valid
304,valid
308,valid
309,valid
314,valid
316,valid
152,train
153,train
155,train
157,train
158,train
159,train
160,train
162,train
163,train
165,train
166,train
167,train
168,train
169,train
170,train
171,train
172,train
173,train
174,train
175,train
177,train
178,train
179,train
181,train
182,train
183,train
184,train
186,train
187,train
188,train
189,train
190,train
191,train
192,train
193,train
194,train
195,train
196,train
197,train
198,train
199,train
200,train
201,train
202,train
203,train
207,train
208,train
209,train
210,train
211,train
212,train
213,train
215,train
216,train
217,train
218,train
219,train
221,train
222,train
223,train
224,train
226,train
227,train
228,train
229,train
230,train
231,train
232,train
233,train
234,train
236,train
237,train
238,train
239,train
240,train
241,test
242,test
243,test
244,test
245,test
246,test
247,test
248,test
249,test
250,test
251,test
252,test
253,test
255,test
257,test
258,test
259,test
260,test
261,test
262,test
263,test
264,test
265,test
266,test
267,test
268,test
269,test
270,test
271,test
272,test
273,test
274,test
275,test
276,test
277,test
278,test
279,test
281,test
282,valid
283,valid
284,valid
285,valid
286,valid
287,valid
288,valid
289,valid
290,valid
291,valid
292,valid
293,valid
294,valid
295,valid
296,valid
297,valid
298,valid
299,valid
300,valid
301,valid
302,valid
303,valid
305,valid
306,valid
307,valid
310,valid
311,valid
312,valid
313,valid
315,valid
317,valid
318,valid
319,valid
320,valid
321,valid
322,valid
323,valid
324,valid
